Unit,Category,Abstract,API page
MURT (multi-unit reinvented toilet),QSDsan static,No,:class:`static/toilet/MURT <qsdsan.unit_operations.static._toilet.MURT>`
PFR (plug flow reactor),QSDsan dynamic,No,:class:`dynamic/suspended_growth_bioreactor/PFR <qsdsan.unit_operations.dynamic._bioreactor.PFR>`
PhaseChanger,QSDsan static,Yes,:class:`static/abstract/PhaseChanger <qsdsan.unit_operations.static._abstract.PhaseChanger>`
PitLatrine,QSDsan static,No,:class:`static/toilet/PitLatrine <qsdsan.unit_operations.static._toilet.PitLatrine>`
PolishingFilter,QSDsan static,No,:class:`static/PolishingFilter <qsdsan.unit_operations.static._polishing_filter.PolishingFilter>`
PrimaryClarifier,QSDsan dynamic,No,:class:`static/clarifier/PrimaryClarifier <qsdsan.unit_operations.static._clarifier.PrimaryClarifier>`
Pump,BST,No,:class:`bst/pumping/Pump <qsdsan.unit_operations.bst._pumping.Pump>`
Reactor,QSDsan static,No,:class:`static/Reactor <qsdsan.unit_operations.static._reactor.Reactor>`
ReversedSplitter,BST,Yes,:class:`bst/abstract/ReversedSplitter <qsdsan.unit_operations.bst._abstract.ReversedSplitter>`
Sampler,QSDsan dynamic,Yes,:class:`dynamic/abstract/Sampler <qsdsan.unit_operations.dynamic._abstract.Sampler>`
Screening,QSDsan static,No,:class:`static/Screening <qsdsan.unit_operations.static._screening.Screening>`
Sedimentation,QSDsan static,No,:class:`static/Sedimentation <qsdsan.unit_operations.static._sedimentation.Sedimentation>`
SepticTank,QSDsan static,No,:class:`static/SepticTank <qsdsan.unit_operations.static._septic_tank.SepticTank>`
SludgeCentrifuge,QSDsan static,No,:class:`static/sludge_thickening/SludgeCentrifuge <qsdsan.unit_operations.static._sludge_thickening.SludgeCentrifuge>`
SludgeDigester,QSDsan static,Yes,:class:`static/anaerobic_reactor/SludgeDigester <qsdsan.unit_operations.static._anaerobic_reactor.SludgeDigester>`
SludgePasteurization,QSDsan static,No,:class:`static/SludgePasteurization <qsdsan.unit_operations.static._sludge_pasteurization.SludgePasteurization>`
SludgePump,QSDsan static,No,:class:`static/pumping/SludgePump <qsdsan.unit_operations.static._pumping.SludgePump>`
SludgeThickening,QSDsan static,Yes,:class:`static/sludge_thickening/SludgeThickening <qsdsan.unit_operations.static._sludge_thickening.SludgeThickening>`
SludgeSeparator,QSDsan static,Yes,:class:`static/sludge_thickening/SludgeSeparator <qsdsan.unit_operations.static._sludge_thickening.SludgeSeparator>`
Splitter,BST,Yes,:class:`bst/abstract/Splitter <qsdsan.unit_operations.bst._abstract.Splitter>`
StorageTank,BST,No,:class:`bst/tank/StorageTank <qsdsan.unit_operations.bst._tank.StorageTank>`
Tank,BST,Yes,:class:`bst/tank/Tank <qsdsan.unit_operations.bst._tank.Tank>`
Toilet,QSDsan static,Yes,:class:`static/toilet/Toilet <qsdsan.unit_operations.static._toilet.Toilet>`
Trucking,QSDsan static,No,:class:`static/Trucking <qsdsan.unit_operations.static._trucking.Trucking>`
UDDT (urine diverting dry toilet),QSDsan static,No,:class:`static/toilet/UDDT <qsdsan.unit_operations.static._toilet.UDDT>`
WWTpump (wastewater treatment pump),QSDsan static,No,:class:`static/pumping/WWTpump <qsdsan.unit_operations.static._pumping.WWTpump>`
