Element,Stream-salt water,HXutility-H1,Stream-salt water,Mix tank-M1,Mix tank-M1,Pump-P1,System,System,Simple TEA,Simple TEA
Variable,Salt flow rate [kg/hr],Heat exchanger temperature [K],Salt solution price [USD/kg],Mix tank retention time [hr],Mix tank mixer power usage [kW/m3],Pump design head [kPa],Total heating duty [kJ/yr],Total electricity consumption [kWh/yr],Total capital expenditure [USD],Net present value [USD]
0,54.946230585753945,350.33180932673315,1.0048167622126338,1.022057072420413,0.09069906517505344,329543.4067305953,4842052812.252552,8496.503552833838,62204.5374296254,-139967408.19627476
1,51.03520785013647,356.83938610043924,-0.1302104036280563,0.9957119598815568,0.07924443499690283,408752.94450678874,5256302535.74946,9520.424790414205,61930.808300524164,17748672.668634642
2,49.67282416878412,343.2835051712123,0.6862952968075848,0.9898141856600992,0.11163963645937078,415614.3215097423,3213638880.0475087,10566.27571024346,61310.95204105068,-95370970.93072976
3,49.99640062893582,342.76176269183156,-1.3767851072053903,0.9938392479916784,0.09688453002287628,336766.6061422791,3621047923.0697746,8735.271664421873,61319.09750519582,190676327.96398193
4,47.7827443679875,392.4467298441691,0.3018022101151953,0.9762485100612952,0.10116707434600375,420286.04298429843,8545381270.569296,10290.002887889454,62582.68895364923,-42277738.471290685
5,52.27916620386064,375.8146027120366,-0.6826398551118574,1.0051081522054428,0.0989522946755346,349153.83143063914,7470677227.512794,9027.127228444459,62557.26791365522,94343408.59731315
6,46.50978880269007,309.5629459543037,-0.25574275266081914,1.0058866773038126,0.11775237285895233,440575.6728303429,0.0,11262.193326095507,63648.50193271717,35307381.94790526
7,48.83211539394014,373.0887033069558,0.3104778164114831,0.9377073666135893,0.09033190664675117,410411.4269073545,6527899930.178706,9723.264365964857,61140.85492846632,-43404277.5458465
8,52.100527859210054,305.1922334452731,0.03728756566017564,0.9930663748319376,0.08112221220784117,464559.12951104285,0.0,10573.846296901756,62097.96889625839,-5247727.415595282
9,51.40860929906378,354.2934775901613,0.3905822913120721,1.0394341322080463,0.08808378174499351,461442.0251989557,3938191531.811795,10867.529319538085,64892.518742622364,-54455801.433400184
10,51.20930579331923,397.27468788384914,-0.45096454021898913,1.0360531899399001,0.08181747569902766,479581.5046248672,7970875097.464883,10997.154515872464,66292.57981803632,62120768.93109904
11,46.027358982881736,361.8092731487704,-2.071903589580025,0.9734533004661844,0.09227426964141718,411888.52148449,4506714632.432622,9930.440675097103,61515.57041140867,286467026.3365366
12,47.293397824386155,387.3235451515974,-0.5559022099880861,0.9595573889895718,0.09012986017680438,397344.74831045547,7793509924.658234,9543.111044393088,62032.90886782703,76547015.37856993
13,50.927511080208,322.9337921844426,-0.2454782846200131,1.0064168386533856,0.1037026140544641,429016.26036535937,1078586299.51027,10642.501900478586,62784.75870924335,33934885.86546437
14,45.093931931137796,362.65113132776514,0.6553672680061545,0.9657676341392529,0.09821043216353231,309190.59675762244,5289738286.913562,8139.311289893676,61115.65449529307,-90976521.55963989
15,48.402496752472516,353.5030190486268,-0.801359278409614,1.0193932937125096,0.11671848509762406,433978.46164073015,3987695991.4905767,11143.878886792656,64424.569033233376,110775640.58239421
16,52.713357906996876,394.35879644136156,0.5043386896716424,1.0248447093940631,0.10182676599836117,455479.1158013843,8389076159.862466,11105.83870856186,65899.01884751978,-70497092.42601605
17,48.765583133603286,339.831335391427,-1.1940911448593687,0.9536219666883619,0.07977436974186874,403853.02743999066,3908530107.81838,9335.350731004375,60552.43425219865,165230154.99365747
18,51.16140314193664,388.71741208195584,-0.8486700088877005,0.922895446872627,0.11710449300482928,447397.52446173964,7745071286.937872,11066.993020036363,63514.92623353141,117312558.98797539
19,50.67943958526284,328.387830394627,-0.41108789384514705,0.9984224985243445,0.1103335325118875,365825.31129529246,2705767702.4807262,9627.128826539432,61004.576276970125,56828373.88698627
20,49.481347911003,300.3811026011764,-0.049888149748441586,1.0342252979153743,0.0919556604997842,357998.3802600483,0.0,9083.315481350028,62380.98192821673,6826119.24589889
21,48.12442025643217,385.47727288870624,1.4154642264110966,0.9849737515075767,0.08962425924208821,438807.42930004955,7559682598.494816,10338.739005352156,64710.3219740826,-196527032.12661585
22,46.70529010655565,333.1314632859649,-1.0359017350161166,1.0807009993323444,0.11310900700885934,483419.9148152127,2881707947.8126473,12049.201316991634,65127.11530511563,143205718.2149123
23,54.78753667211362,303.6063432223204,0.08452343030870728,0.9570174997589014,0.08437249415454914,374844.62266791484,165750456.54720357,8970.687635511598,57034.425879350005,-11818267.33771088
24,47.485222743070025,331.6291943160454,-1.9530548929919151,0.96731137633836,0.10770462525398955,346472.60352165723,2816540558.475154,9115.241604922174,60405.17998651192,270292731.9215092
25,53.507854637258355,337.69578749545013,0.15507144905556175,1.0016617783574024,0.11029972763679985,379754.2943675645,2884859620.683741,9922.777551227742,61379.858511025945,-21743909.992782913
26,54.18407394061544,369.6535494812991,0.3615415792719082,0.9291447219497712,0.11240115682835922,422848.92582456954,5106252567.194198,10569.85225271851,63013.96800175856,-50547118.77968157
27,50.09830857216346,380.0770939652209,0.8913086508029249,1.027564381393635,0.08274203385195936,352438.1864123593,7162452481.9811945,8701.839644453055,63139.88148655827,-124008151.02371879
28,46.15382779091285,389.0049100587395,-0.011054976023702976,0.9418347171381031,0.09348475199696703,342131.6553995641,7672693473.803151,8610.418426717746,61603.02301180951,1100336.9910624218
29,46.647670246930915,325.52235229800755,0.9270423613360205,0.9790811140645354,0.10971199343446915,476978.2762400203,2447695689.0093346,11505.557154300748,62793.07710012368,-128525414.09913366
30,53.73790865004607,365.8564347984976,0.49555946313906346,0.9639758554967431,0.09415918411239382,427957.9738973938,6230333651.174594,10200.526364756657,63705.40699258509,-69207580.63234973
31,45.10122319889068,341.3952289850269,0.5307878263724604,1.0284249760271724,0.1141451637496756,406436.94771568634,2971123241.1308904,10572.852028706355,61974.99960610994,-73635729.69139166
32,47.17464864372404,347.0925161248514,-0.17768908709769327,0.9708536095753922,0.08137653326539004,400106.2921168143,3403313049.6684403,9399.184483841922,60997.04882852174,24377978.190612596
33,50.20203318896213,308.37522113307284,-1.4640087814250042,0.9168608386780006,0.08586976357214332,399376.2554959182,0.0,9406.691252538454,59810.50569381386,202932465.8404745
34,45.85940184986291,327.12724717007836,-0.9510801406921058,0.9359377502964372,0.11277930294408181,398004.78012281505,2519756453.1999593,10062.357143008403,59685.457691172625,131432016.93651202
35,51.82665371141308,363.9585008748832,-1.1630614025069814,1.0589053202101866,0.08731115301374077,376030.40267606906,5497989129.497489,9340.343806789637,63399.76533124044,161092731.5594986
36,52.95436592953225,358.71768317467087,-0.3799735358079513,0.947311604698629,0.10419629961886041,402990.45035745145,4294525823.921147,10034.177506378177,60888.38219962802,52495599.56761987
37,46.34925283449245,382.5522224443256,1.112370614279584,1.0095293082892254,0.11372021020138878,389490.8398199044,6856189858.840724,10223.880695927917,62922.5966144331,-154367724.51713198
38,46.9201861915014,384.2593153370467,1.4768315813264186,1.049018039727302,0.11590325722885311,340914.68771597405,8249501410.3268,9495.480584268385,63680.27263723422,-204939661.17486885
39,51.387735894109916,377.8065958681345,-0.48192915320215807,0.969815648166585,0.11634642632647219,396616.38986094255,5872980038.049403,10332.961208069937,61956.76096133428,66526860.164112695
40,53.024714002383156,304.47825655930563,-0.8116092026619703,0.9747125953093119,0.09114006647565887,413610.8380513126,0.0,9923.12297687775,60904.94980725567,112622044.55378568
41,52.68373765430645,352.5855466203047,-0.09598017413876771,0.9923247004710674,0.08634358851802301,443829.9047999031,4404160202.006593,10361.448386141472,63904.169239909425,13048206.149084607
42,54.214895829072404,366.01526112559026,0.12706691715127796,1.0429179252899967,0.11434636302059725,354833.981286954,5252460470.547416,9745.776614451144,63044.13353732474,-17973592.926323395
43,54.06896855450935,395.3955774350603,-1.2748365542444022,1.0121623842480634,0.08932074626788908,437795.07703408453,9133045417.36269,10367.56403291793,65646.89224835925,176624601.82200643
44,49.72788496632366,360.92352242044086,-0.609578292132897,1.0415582818248366,0.09479023786719014,425023.60476065916,5262562395.926097,10386.0107675705,65147.0092027507,84196766.28410919
45,48.2652669643165,332.1650705653944,-0.4317669670384933,1.0336550208287116,0.09705046712828005,387502.18286292686,1619709312.777204,9795.255556670625,61579.66536009568,59677017.42183812
