parameter,name,unit,expected,low,high,distribution,uncertainty_assumption,reference
price_emergency_button,,USD/pc,44,33,55,uniform,25%,https://www.radwell.com/Shop?source=GoogleShopping&IgnoreRedirect=true&ItemSingleId=842720&utm_source=google&utm_medium=cpc&adpos=&scid=scplp842720&sc_intid=842720&gclid=CjwKCAiAz--OBhBIEiwAG1rIOg8aJEgPVL9lOHFPFMc2Z_0iZt95XYCc_7_s3fsi3Jd17dnsSufa0BoClSsQAvD_BwE
price_fuse,,USD/pc,0.65,0.4875,0.8125,uniform,25%,https://www.amazon.com/uxcell-10mm-38mm-Quick-Ceramic/dp/B00DGWR1JC
price_fuse_holder,,USD/pc,12,9,15,uniform,25%,https://www.alliedelec.com/product/schneider-electric/df101/71019393/?utm_source=google&utm_medium=cpc&adpos=&scid=scplp71019393&sc_intid=71019393&gclid=CjwKCAiAz--OBhBIEiwAG1rIOphTHO_7G5WpBnMSV6cKqxBTXeMDrBU9PId0t2eNb2cSF8LcHem3pRoCiJIQAvD_BwE&gclsrc=aw.ds
price_inverter,,USD/pc,180,135,225,uniform,25%,https://www.walkerindustrial.com/1Ph-Supply-Voltage-200-to-240V-0-5HP-p/acs150-01u-02a4-2.htm
price_IO_card,,USD/pc,160,120,200,uniform,25%,https://www.automation24.com/expansion-module-siemens-logo-dm16-24r-6ed10551nb100ba2?refID=adwords_product-number_USA&gclid=CjwKCAiAz--OBhBIEiwAG1rIOgWnM_4P1oSbMx0EKyz0EwdHJqyLfHzEpUtbrgLfR8CQRAHE474DhxoC3PcQAvD_BwE
price_level_control_relay,,USD/pc,29,21.75,36.25,uniform,25%,https://www.amazon.com/Liquid-Controller-GRL8-01-Control-24V-240V/dp/B07NMLX2BX/ref=asc_df_B07NMLX2BX/?tag=hyprod-20&linkCode=df0&hvadid=416791939662&hvpos=&hvnetw=g&hvrand=7934850142560243390&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9022196&hvtargid=pla-866412855563&psc=1&tag=&ref=&adgrpid=90730998701&hvpone=&hvptwo=&hvadid=416791939662&hvpos=&hvnetw=g&hvrand=7934850142560243390&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9022196&hvtargid=pla-866412855563
price_PLC_controller,,USD/pc,200,150,250,uniform,25%,https://www.amazon.com/Siemens-6ED1052-1MD08-0BA0-24RCE-logic-module/dp/B0792DD6X9
price_polot_lamp,,USD/pc,24,18,30,uniform,25%,https://www.radwell.com/Shop?source=GoogleShopping&IgnoreRedirect=true&ItemSingleId=711585&utm_source=google&utm_medium=cpc&adpos=&scid=scplp711585&sc_intid=711585&gclid=CjwKCAiAz--OBhBIEiwAG1rIOtMukOz9dLeEdvve3MBsvPY_txdrGZow9XS2rY7uvS8YSbU7kClW6BoC670QAvD_BwE
price_power_supply,,USD/pc,27,20.25,33.75,uniform,25%,https://www.trcelectronics.com/View/Mean-Well/EDR-120-24.shtml?utm_term=&utm_campaign=Shopping+Display&utm_source=adwords&utm_medium=ppc&hsa_acc=9805199880&hsa_cam=164782104&hsa_grp=55914760756&hsa_ad=273300474152&hsa_src=g&hsa_tgt=pla-1001676390712&hsa_kw=&hsa_mt=&hsa_net=adwords&hsa_ver=3&gclid=CjwKCAiAz--OBhBIEiwAG1rIOpAYzpTlg7ynHPZmQkIZD29O4uwq3MNrjSeudYwmlQRlcA83et_M3BoCOuEQAvD_BwE
price_push_button,,USD/pc,18,13.5,22.5,uniform,25%,https://www.radwell.com/Shop?source=GoogleShopping&IgnoreRedirect=true&ItemSingleId=25409381&utm_source=google&utm_medium=cpc&adpos=&scid=scplp25409381&sc_intid=25409381&gclid=CjwKCAiAz--OBhBIEiwAG1rIOtk_ZEheAEwn5siBbZvKFjGnC1MHLy7xDOoEtQqbzLCraaNW4qnPZBoCGCgQAvD_BwE
